Feature,UI Route/File(s),Backend Endpoint(s),SDK Method(s),Implemented (✅/❌),Notes
Dashboard,/ (Dashboard.tsx),GET /reports/overview,getOverviewReport,✅,Complete with metrics and health status
Automations,/automations (AutomationsPage.tsx),GET /automations,getAutomations,✅,Cards with toggles, template editor, rules modal
Campaigns,/campaigns (Campaigns.tsx),GET /campaigns,getCampaigns,✅,List view with create/edit/delete
Campaign Detail,/campaigns/:id (CampaignDetail.tsx),GET /campaigns/:id,getCampaign,✅,Detail view with estimate/test/send
Discounts,/discounts (Discounts.tsx),GET /discounts,getDiscounts,✅,List view with conflict checking
Contacts,/contacts (Contacts.tsx),GET /contacts,getContacts,✅,List view with create/edit/delete
Segments,/segments (Segments.tsx),GET /segments,getSegments,✅,List view with create/edit/delete
Reports,/reports (Reports.tsx),GET /reports/overview,getOverviewReport,✅,Overview and messaging reports
Settings,/settings (Settings.tsx),GET /settings,getSettings,✅,Configuration with quiet hours and caps
Health Check,Multiple,GET /health,getHealth,✅,System health monitoring
Template Preview,AutomationsPage,POST /templates/preview,previewTemplate,✅,Liquid template preview
Template Validation,AutomationsPage,POST /templates/validate,validateTemplate,✅,Template syntax validation
Template Variables,AutomationsPage,GET /templates/variables,getTemplateVariables,✅,Available variables per trigger
Campaign Estimate,CampaignDetail,POST /campaigns/:id/estimate,estimateCampaign,✅,Cost and recipient estimation
Campaign Test Send,CampaignDetail,POST /campaigns/:id/test-send,testSendCampaign,✅,Test message sending
Campaign Send,CampaignDetail,POST /campaigns/:id/send,sendCampaign,✅,Bulk campaign sending
Discount Conflicts,Discounts,POST /discounts/conflicts,checkDiscountConflicts,✅,Conflict detection
Discount Apply URL,Discounts,GET /discounts/:id/apply-url,getDiscountApplyUrl,✅,Shopify integration URL
Automation Toggle,AutomationsPage,PUT /automations,updateAutomations,✅,Enable/disable automations
Automation Rules,AutomationsPage,PUT /automations,updateAutomations,✅,Quiet hours, frequency cap, dedupe
Contact Creation,Contacts,POST /contacts,createContact,✅,Manual contact addition
Contact Update,Contacts,PUT /contacts/:id,updateContact,✅,Edit contact details
Contact Deletion,Contacts,DELETE /contacts/:id,deleteContact,✅,Remove contacts
Bulk Contacts,Contacts,POST /contacts/bulk,bulkContacts,✅,Bulk operations
Reports Export,Reports,GET /reports/export,exportReport,✅,CSV/JSON export
Automations Report,Reports,GET /reports/automations,getAutomationsReport,✅,Automation performance metrics
Campaigns Report,Reports,GET /reports/campaigns,getCampaignsReport,✅,Campaign performance metrics
Attribution Report,Reports,GET /reports/attribution,getAttributionReport,✅,Revenue attribution
Queue Health,Dashboard,GET /queue/health,getHealth,✅,Message queue status
Prometheus Metrics,Dashboard,GET /metrics,getHealth,✅,System metrics
JSON Metrics,Dashboard,GET /metrics/json,getHealth,✅,Structured metrics
Who Am I,Debug,GET /__debug/whoami,getWhoAmI,✅,Debug endpoint